	title	paper	uid	image
18	Organ Source Prediction for Exosomal Proteomics via Protein Language Models	https://drive.google.com/open?id=11x9MMvNXeVJcXEylMr-K6HytPa3jSCmp	11x9MMvNXeVJcXEylMr-K6HytPa3jSCmp	11x9MMvNXeVJcXEylMr-K6HytPa3jSCmp/poster.png
21	Enhancing the affinity of protein-protein interactions by multiple amino acid mutations predicted by deep neural networks	https://drive.google.com/open?id=1uhNGUktEo7LS8dxyaU5bY423Q8wjrUao	1uhNGUktEo7LS8dxyaU5bY423Q8wjrUao	1uhNGUktEo7LS8dxyaU5bY423Q8wjrUao/poster.png
27	Towards data-driven design of context-specific regulatory elements	https://drive.google.com/open?id=1flCq3EwykFB7CVaXyY9ZYQI2N_3O6iZE	1flCq3EwykFB7CVaXyY9ZYQI2N_3O6iZE	1flCq3EwykFB7CVaXyY9ZYQI2N_3O6iZE/poster.png
28	Learning a representation of cellular morphology: unsupervised deep learning for shape and texture characterization of cells in EM data	https://drive.google.com/open?id=17tFetHUyQHRZ5JKd1naaihrLmCGbYkFZ	17tFetHUyQHRZ5JKd1naaihrLmCGbYkFZ	17tFetHUyQHRZ5JKd1naaihrLmCGbYkFZ/poster.png
30	Machine learning for novel antibiotic candidate domains - conjugated oligoelectrolytes	https://drive.google.com/open?id=1lU2Tn3pc6tI4wBgr7y-VR59BEe8i4iBI	1lU2Tn3pc6tI4wBgr7y-VR59BEe8i4iBI	1lU2Tn3pc6tI4wBgr7y-VR59BEe8i4iBI/poster.png
31	Bayesian nonparametric strategies for power maximization in rare variants association studies	https://drive.google.com/open?id=1YUcZ6QDtvMs9Qzp37zB-jindw1zKKmsS	1YUcZ6QDtvMs9Qzp37zB-jindw1zKKmsS	1YUcZ6QDtvMs9Qzp37zB-jindw1zKKmsS/poster.png
32	Deep Generative Modeling of Transcription Factor-Gene Expression Relationships	https://drive.google.com/open?id=1eYaZ6t_tN4vmTwZ1L7WHo2rszo9kqO1A	1eYaZ6t_tN4vmTwZ1L7WHo2rszo9kqO1A	1eYaZ6t_tN4vmTwZ1L7WHo2rszo9kqO1A/poster.png
33	TeraTox empowers preclinical teratogenicity assessment with stem cells, sequencing, and explainable machine learning	https://drive.google.com/open?id=1M0EqHxLdbNyy5aspV5GMqhYKedznBb90	1M0EqHxLdbNyy5aspV5GMqhYKedznBb90	1M0EqHxLdbNyy5aspV5GMqhYKedznBb90/poster.png
34	Optimal Design of Experiments for Simulation Based Inference of Mechanistic Acyclic Biological Networks	https://drive.google.com/open?id=13J8PkkTHZu3ZqCViPbCLvD48dNJ6nE0b, https://drive.google.com/open?id=1ncsCLFay4qrUigO0Wqw3AyWw1bwB5E8o	1ncsCLFay4qrUigO0Wqw3AyWw1bwB5E8o	1ncsCLFay4qrUigO0Wqw3AyWw1bwB5E8o/poster.png
35	Protein Organization with Manifold Exploration and Spectral Clustering	https://drive.google.com/open?id=1mvVPDpkLIdrRKSY2-Jfga22C467kUteV	1mvVPDpkLIdrRKSY2-Jfga22C467kUteV	1mvVPDpkLIdrRKSY2-Jfga22C467kUteV/poster.png
38	Towards Remote Protein Homology Detection: Pairwise Alignment Using Locally Enriched Transformers	https://drive.google.com/open?id=1VqmKVFgi43p7dwIGQCo0IrypT9jAP3FS	1VqmKVFgi43p7dwIGQCo0IrypT9jAP3FS	1VqmKVFgi43p7dwIGQCo0IrypT9jAP3FS/poster.png
40	A Bayesian nonparametric model for aligning spatial gene expression data	https://drive.google.com/open?id=1kgzgapIYqRN0verSuZ2gbcxD6oxTKfJS, https://drive.google.com/open?id=1qYS3nw3mj-C2SrFtxOqbhYM-g5xZArYX	1qYS3nw3mj-C2SrFtxOqbhYM-g5xZArYX	1qYS3nw3mj-C2SrFtxOqbhYM-g5xZArYX/poster.png
41	Leveraging Adversarial Reprogramming for Template-Constrained Protein Sequence Design	https://drive.google.com/open?id=12yTT5e2QAXmDiZmSkOoyVqDS0hMuRdnh	12yTT5e2QAXmDiZmSkOoyVqDS0hMuRdnh	12yTT5e2QAXmDiZmSkOoyVqDS0hMuRdnh/poster.png
42	cov2vec: Encoding the genomic manifold of 2+ Million SARS CoV2 viral sequences with protein language models.	https://drive.google.com/open?id=1Zq5SkOb4FG9JilmDpIYaXfTzB2bdi8kB	1Zq5SkOb4FG9JilmDpIYaXfTzB2bdi8kB	1Zq5SkOb4FG9JilmDpIYaXfTzB2bdi8kB/poster.png
43	Prediction of cell-cell communication directly from scRNA-seq latent spaces	https://drive.google.com/open?id=12CT4-gjO6AVlJgqkXhJ22QEP2o0M8o5U	12CT4-gjO6AVlJgqkXhJ22QEP2o0M8o5U	12CT4-gjO6AVlJgqkXhJ22QEP2o0M8o5U/poster.png
44	InterDocker: End-to-End Cross-Attentive and Geometric Transformers for Efficient Iterative Protein Docking	https://drive.google.com/open?id=1DbC3sMW4x1cpQRk2qmLVmSYaTDZEvZ63	1DbC3sMW4x1cpQRk2qmLVmSYaTDZEvZ63	1DbC3sMW4x1cpQRk2qmLVmSYaTDZEvZ63/poster.png
45	Prediction and design of biological sequences combining evolutionary sequence data with sparse labels	https://drive.google.com/open?id=1Tiyx-Yhz9Wp-EXJFczUif_eoSW585wmY	1Tiyx-Yhz9Wp-EXJFczUif_eoSW585wmY	1Tiyx-Yhz9Wp-EXJFczUif_eoSW585wmY/poster.png
47	Modeling gene regulatory network dynamics in tumor through graph embedding alignment	https://drive.google.com/open?id=1h90H1ubTr-63n5KfSATGrSFbFdViXDZu	1h90H1ubTr-63n5KfSATGrSFbFdViXDZu	1h90H1ubTr-63n5KfSATGrSFbFdViXDZu/poster.png
48	ProGSNN: Deep Multi-Scale Protein Representation Learning using Geometric Scattering	https://drive.google.com/open?id=1547SfKDq5Th0cjDuEjcwMG01mqetbM2t	1547SfKDq5Th0cjDuEjcwMG01mqetbM2t	1547SfKDq5Th0cjDuEjcwMG01mqetbM2t/poster.png
49	cov2vec: encoding the genomic manifold of 2+ million SARS CoV2 viral sequences with protein language models.	https://drive.google.com/open?id=1A85yUMShpBqEGZZgOkPHN05CESd3QgIs	1A85yUMShpBqEGZZgOkPHN05CESd3QgIs	1A85yUMShpBqEGZZgOkPHN05CESd3QgIs/poster.png
50	Protein language model embeddings for fast, accurate, alignment-free protein structure prediction	https://drive.google.com/open?id=1tK_WcOXN0UVbN2wcIyKMaaEsJ3wSyOkn	1tK_WcOXN0UVbN2wcIyKMaaEsJ3wSyOkn	1tK_WcOXN0UVbN2wcIyKMaaEsJ3wSyOkn/poster.png
51	A generative model of the human proteome using across-species and within-species sequence data	https://drive.google.com/open?id=142FhZl6ff8xUbHQamG4voswCOeLq8kyb	142FhZl6ff8xUbHQamG4voswCOeLq8kyb	142FhZl6ff8xUbHQamG4voswCOeLq8kyb/poster.png
52	The Transfo-k-mer: an auto-regressive transformer-based architecture to predict protein fitness	https://drive.google.com/open?id=1cY6mWx8kzQcZPVOnvc2t11wF0dtbZq_c	1cY6mWx8kzQcZPVOnvc2t11wF0dtbZq_c	1cY6mWx8kzQcZPVOnvc2t11wF0dtbZq_c/poster.png
53	Prediction of cell-cell communication in scRNA-seq latent spaces	https://drive.google.com/open?id=1vpwYRXDo9h6Xn-HKSHtr794fw7HDwvIw	1vpwYRXDo9h6Xn-HKSHtr794fw7HDwvIw	1vpwYRXDo9h6Xn-HKSHtr794fw7HDwvIw/poster.png
54	Similarity Neural Networks for RBP Binding Site Detection	https://drive.google.com/open?id=1KFljUiy6YdxRYpU7paF6xxLi3vq5tcCH, https://drive.google.com/open?id=1GCZqWfT5pkBeI9HpdmlAFU-2iCvghJXX	1GCZqWfT5pkBeI9HpdmlAFU-2iCvghJXX	1GCZqWfT5pkBeI9HpdmlAFU-2iCvghJXX/poster.png
58	Joint embedding of sequence features (texts) and function labels (graphs) for protein function prediction	https://drive.google.com/open?id=1dNEgKOzgp8xzBeFkTGBwSspRPB4Sskzf	1dNEgKOzgp8xzBeFkTGBwSspRPB4Sskzf	1dNEgKOzgp8xzBeFkTGBwSspRPB4Sskzf/poster.png
59	Self-Supervised Vision Transformers Learn Disentangled Representations in Histopathology	https://drive.google.com/open?id=1kkpK_EtTDZ-nnXwTUTY_aAa2FLCTdGz6	1kkpK_EtTDZ-nnXwTUTY_aAa2FLCTdGz6	1kkpK_EtTDZ-nnXwTUTY_aAa2FLCTdGz6/poster.png
62	Contrastive VAE models to identify independent disease mechanisms in single-cell data	DRIVE	Contrastive VAE models to identify independent disease mechanisms in single-cell data	Contrastive VAE models to identify independent disease mechanisms in single-cell data/poster.png
63	Benchmarking algorithms to identify clinically-relevant sub-populations of patients	DRIVE	Benchmarking algorithms to identify clinically-relevant sub-populations of patients	Benchmarking algorithms to identify clinically-relevant sub-populations of patients/poster.png
64	Interpretable graph representation learning for lectin-glycan binding	https://drive.google.com/open?id=14vtEWBfTlY1q8d4Li7dvfD9luvxpEp5m, https://drive.google.com/open?id=1lPFDHY0bNnQ2UywsdPgOxGW_KhdgqAwF	1lPFDHY0bNnQ2UywsdPgOxGW_KhdgqAwF	1lPFDHY0bNnQ2UywsdPgOxGW_KhdgqAwF/poster.png
65	Vaccine Design using Machine Learning of Human Degrons	https://drive.google.com/open?id=1jggnt7DQqppCRecLPBcNc0SfNEXY67BP, https://drive.google.com/open?id=1sIFq-1tWkXDimaTQWjUin_udipqap4wj	1sIFq-1tWkXDimaTQWjUin_udipqap4wj	1sIFq-1tWkXDimaTQWjUin_udipqap4wj/poster.png
66	Mapping Biology With a Unified Representation Space for Genomic and Chemical Perturbations to Enable Accelerated Drug Discovery	DRIVE	Mapping Biology With a Unified Representation Space for Genomic and Chemical Perturbations to Enable Accelerated Drug Discovery	Mapping Biology With a Unified Representation Space for Genomic and Chemical Perturbations to Enable Accelerated Drug Discovery/poster.png
